Provincia,Habitantes,Extension,Densidad
/wiki/Archivo:Bandera_Provincia_Azuay.svg,712 127,8639,"82,43"
/wiki/Archivo:Bandera_Provincia_Bol%C3%ADvar.svg,183 641,3254,"56,43"
/wiki/Archivo:Bandera_Provincia_Ca%C3%B1ar.svg,225 184,3908,"57,62"
/wiki/Archivo:Bandera_Provincia_Carchi.svg,164 524,3699,"44,47"
/wiki/Archivo:Bandera_Provincia_Chimborazo.svg,458 581,5287,"86,73"
/wiki/Archivo:Bandera_Provincia_Cotopaxi.svg,409 205,6569,"62,29"
/wiki/Archivo:Bandera_Provincia_El_Oro.svg,600 659,5988,"100,31"
/wiki/Archivo:Bandera_Provincia_Esmeraldas.svg,491 168,14 893,32
/wiki/Archivo:Bandera_Provincia_Gal%C3%A1pagos.svg,25 124,8010,"3,13"
/wiki/Archivo:Bandera_Provincia_Guayas.svg,3 645 483,17 139,"212,70"
/wiki/Archivo:Bandera_Provincia_Imbabura.svg,398 244,4599,"86,59"
/wiki/Archivo:Bandera_Provincia_Loja.svg,453 966,11 027,"40,71"
/wiki/Archivo:Bandera_de_Los_R%C3%ADos.svg,778 115,6254,"124,41"
/wiki/Archivo:Bandera_Provincia_Manab%C3%AD.svg,1 369 780,18 400,"74,44"
/wiki/Archivo:Bandera_Provincia_Morona_Santiago.svg,147 940,25 690,"5,75"
/wiki/Archivo:Bandera_Provincia_Napo.svg,103 697,13 271,"7,81"
/wiki/Archivo:Bandera_Provincia_Orellana.svg,136 396,21 675,"6,57"
/wiki/Archivo:Bandera_Provincia_Pastaza.svg,83 933,29 520,"2,84"
/wiki/Archivo:Bandera_Provincia_Pichincha.svg,2 576 287,9612,"271,35"
/wiki/Archivo:Santa_Elena_flag.png,308 693,3763,"82,03"
/wiki/Archivo:Bandera_Provincia_Santo_Domingo_de_los_Ts%C3%A1chilas.svg,410 937,4180,98
/wiki/Archivo:Bandera_Provincia_Sucumb%C3%ADos.svg,176 472,18 612,"9,48"
/wiki/Archivo:Bandera_Provincia_Tungurahua.svg,504 583,3334,"151,34"
/wiki/Archivo:Bandera_Provincia_Zamora_Chinchipe.svg,91 376,10 556,"8,65"
